,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20
true_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_2,0,0,464,2,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,7,0
true_3,0,1,0,98,0,0,0,0,28,81,0,66,27,10,0,51,25,0,0,87,6
true_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_6,0,0,0,0,179,45,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_10,0,3,0,80,0,0,1,0,47,81,222,84,85,28,0,160,39,0,11,99,20
true_11,0,0,0,14,98,0,0,0,43,59,1,64,16,13,0,55,5,9,0,94,9
true_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_13,0,5,0,10,0,0,4,0,70,4,14,16,183,28,0,3,134,0,1,4,4
true_14,0,2,1,80,75,0,0,0,57,78,0,149,39,28,0,129,25,193,0,87,17
true_15,0,3,0,80,0,0,0,0,33,61,1,90,26,9,0,93,25,0,0,50,9
true_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_18,0,0,0,38,0,530,0,0,30,32,0,30,16,13,0,43,11,0,176,34,7
true_19,2,0,0,63,0,0,0,0,40,38,0,42,73,14,0,74,43,0,0,64,27
true_20,1,1,0,25,0,0,0,0,16,8,0,10,0,1,0,17,3,0,0,12,386
