,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20
true_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_2,0,0,457,2,0,0,0,0,11,2,0,0,0,0,0,7,0,0,0,1,0
true_3,0,0,0,87,0,4,0,0,0,90,0,4,0,0,0,274,6,4,0,11,0
true_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_6,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_10,0,0,0,92,0,2,0,0,2,98,169,6,91,0,0,225,238,3,0,14,20
true_11,0,0,0,17,37,0,0,0,0,11,0,377,0,0,7,27,0,1,0,3,0
true_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_13,0,0,0,0,0,17,0,0,38,1,15,0,124,264,0,13,4,0,0,4,0
true_14,0,0,0,22,0,1,0,0,0,25,0,2,0,0,763,102,0,34,0,11,0
true_15,0,0,0,96,0,6,0,0,0,56,0,4,0,0,0,281,23,1,0,13,0
true_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_18,0,0,0,58,0,7,0,1,0,32,0,0,50,16,0,139,0,0,648,5,4
true_19,0,0,0,23,0,2,0,0,0,32,0,13,0,0,0,73,1,4,0,318,14
true_20,0,0,0,40,0,2,0,0,0,29,0,1,0,0,0,63,36,2,0,8,299
