,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20
true_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_2,0,0,461,0,0,0,0,0,2,2,0,9,0,0,0,0,0,0,0,6,0
true_3,0,0,0,179,0,0,0,0,24,79,0,39,15,0,0,45,12,0,0,86,1
true_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_6,0,0,0,0,326,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_10,0,0,0,152,0,0,0,0,154,51,44,110,70,4,0,193,80,3,1,84,14
true_11,0,0,0,39,101,0,0,0,39,67,0,46,9,3,0,64,10,4,0,95,3
true_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_13,0,0,0,12,0,0,0,0,136,13,0,3,216,26,0,3,64,3,0,4,0
true_14,0,0,0,286,119,0,0,0,121,48,0,104,56,15,0,48,47,77,0,37,2
true_15,0,0,0,95,0,0,0,0,44,69,0,88,22,2,0,109,18,0,0,30,3
true_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_18,0,0,5,57,0,471,2,66,38,46,0,21,29,2,0,52,1,0,120,39,11
true_19,0,0,0,103,0,0,0,0,43,59,0,39,60,2,0,52,9,0,0,101,12
true_20,0,0,0,34,0,0,0,0,15,22,0,16,2,1,0,17,5,0,0,13,355
