name,format,size_bytes,sha256,fault_id,source_split,run_id
d00.dat,text/plain; space-delimited .dat (Braatz TEP),416049,4c3c0b11eefacf93e5d2529e2866d7a625e37aa9153d0f95fae17a6c9e560deb,0,braatz_train,braatz_tr_fault00
d00_te.dat,text/plain; space-delimited .dat (Braatz TEP),799680,57d56da4199e3d73582855d810be1d13d931386fd728bf1694798c7b0a03678c,0,braatz_test,braatz_te_fault00
d01.dat,text/plain; space-delimited .dat (Braatz TEP),399840,b0da22ac7561d82b0ba0b48bf87d2b3a8655cb23a3dc37330dd03cdd126c387c,1,braatz_train,braatz_tr_fault01
d01_te.dat,text/plain; space-delimited .dat (Braatz TEP),799680,e7e6992fb39664e739fccbc001a1c5d5f7cb21829544f734ca3f282c26f680e5,1,braatz_test,braatz_te_fault01
d02.dat,text/plain; space-delimited .dat (Braatz TEP),399840,af1a46ba3a5482be3e7b143606f22ae509138544af2a2d0eb7389459257f8179,2,braatz_train,braatz_tr_fault02
d02_te.dat,text/plain; space-delimited .dat (Braatz TEP),799680,a34bd9c3693fa96bd3ee533fb7fbe29a9d226a4e3250b585ef1308e1136dbfb0,2,braatz_test,braatz_te_fault02
d03.dat,text/plain; space-delimited .dat (Braatz TEP),399840,df39c57bdac7ea476ee236c289e0f59b0cbf868adfbbbaf213f692d8cd96e52a,3,braatz_train,braatz_tr_fault03
d03_te.dat,text/plain; space-delimited .dat (Braatz TEP),799680,b7bf6f2ed7cff0a5577898b009edd252b9bdf6ee9ff7dbeacf9af9aa4c6abace,3,braatz_test,braatz_te_fault03
d04.dat,text/plain; space-delimited .dat (Braatz TEP),399840,346702fce33d9707f0b4ec5b8f533ccb08be60313607d5156d7e237b80a87b3f,4,braatz_train,braatz_tr_fault04
d04_te.dat,text/plain; space-delimited .dat (Braatz TEP),799680,1ccb488dd5feac11aad54623451168abef066229e685872597897800363916f9,4,braatz_test,braatz_te_fault04
d05.dat,text/plain; space-delimited .dat (Braatz TEP),399840,3a47bfce4010ce0c634ae828409cce657ecd03bf0c4d59f8dd4a3d4f792f493f,5,braatz_train,braatz_tr_fault05
d05_te.dat,text/plain; space-delimited .dat (Braatz TEP),799680,1def7258a2865aeead699d52c8cf926fbf34c1467aaf298121987ab858fd0888,5,braatz_test,braatz_te_fault05
d06.dat,text/plain; space-delimited .dat (Braatz TEP),399840,ff0882a44bb74f5d2d1a864425ac7e5ae82420391c7060232cefc08ad5bf7331,6,braatz_train,braatz_tr_fault06
d06_te.dat,text/plain; space-delimited .dat (Braatz TEP),799680,8a3adc7121eaa9b9300c27f9c57a8ab356315401cb964310a4a8244dd34bf79d,6,braatz_test,braatz_te_fault06
d07.dat,text/plain; space-delimited .dat (Braatz TEP),399840,e3fd272ed53f899ab0c8278c7eede55418b01a2339b5fcff14a87fefaa3d181d,7,braatz_train,braatz_tr_fault07
d07_te.dat,text/plain; space-delimited .dat (Braatz TEP),799680,e01b7c81daf9fccc4495cbde5658296918276b3c078044893f6e945dd91d3446,7,braatz_test,braatz_te_fault07
d08.dat,text/plain; space-delimited .dat (Braatz TEP),399840,4817735e339449bec909d1cbe77e421acc79c7357b8c6b5bb82c6e5788b72449,8,braatz_train,braatz_tr_fault08
d08_te.dat,text/plain; space-delimited .dat (Braatz TEP),799680,c0637f02f23b79890b43cfee9604818ad6d7f81532223d76acf1da0d6e2a2cc1,8,braatz_test,braatz_te_fault08
d09.dat,text/plain; space-delimited .dat (Braatz TEP),399840,cb9146da760cdd52cad575d745413a5cfb4b447af2db9fb6a424cf6881ff0fcd,9,braatz_train,braatz_tr_fault09
d09_te.dat,text/plain; space-delimited .dat (Braatz TEP),799680,513df6c3a4fd48e0eaddb0002cd8cdab3a78a5c83c47883bb52d2dc6c2472428,9,braatz_test,braatz_te_fault09
d10.dat,text/plain; space-delimited .dat (Braatz TEP),399840,e08697b5d074aea2345434bc4d26296f5dbdbb7efbf37a1bbee292b2ce765e8f,10,braatz_train,braatz_tr_fault10
