name,n_rows,n_cols,orientation,expected_shape,shape_matches_expected
d00.dat,52,500,features_x_samples,480x52,False
d00_te.dat,960,52,samples_x_features,960x52,True
d01.dat,480,52,samples_x_features,480x52,True
d01_te.dat,960,52,samples_x_features,960x52,True
d02.dat,480,52,samples_x_features,480x52,True
d02_te.dat,960,52,samples_x_features,960x52,True
d03.dat,480,52,samples_x_features,480x52,True
d03_te.dat,960,52,samples_x_features,960x52,True
d04.dat,480,52,samples_x_features,480x52,True
d04_te.dat,960,52,samples_x_features,960x52,True
d05.dat,480,52,samples_x_features,480x52,True
d05_te.dat,960,52,samples_x_features,960x52,True
d06.dat,480,52,samples_x_features,480x52,True
d06_te.dat,960,52,samples_x_features,960x52,True
d07.dat,480,52,samples_x_features,480x52,True
d07_te.dat,960,52,samples_x_features,960x52,True
d08.dat,480,52,samples_x_features,480x52,True
d08_te.dat,960,52,samples_x_features,960x52,True
d09.dat,480,52,samples_x_features,480x52,True
d09_te.dat,960,52,samples_x_features,960x52,True
d10.dat,480,52,samples_x_features,480x52,True
d10_te.dat,960,52,samples_x_features,960x52,True
d11.dat,480,52,samples_x_features,480x52,True
d11_te.dat,960,52,samples_x_features,960x52,True
d12.dat,480,52,samples_x_features,480x52,True
d12_te.dat,960,52,samples_x_features,960x52,True
d13.dat,480,52,samples_x_features,480x52,True
d13_te.dat,960,52,samples_x_features,960x52,True
d14.dat,480,52,samples_x_features,480x52,True
d14_te.dat,960,52,samples_x_features,960x52,True
d15.dat,480,52,samples_x_features,480x52,True
d15_te.dat,960,52,samples_x_features,960x52,True
d16.dat,480,52,samples_x_features,480x52,True
d16_te.dat,960,52,samples_x_features,960x52,True
d17.dat,480,52,samples_x_features,480x52,True
d17_te.dat,960,52,samples_x_features,960x52,True
d18.dat,480,52,samples_x_features,480x52,True
d18_te.dat,960,52,samples_x_features,960x52,True
d19.dat,480,52,samples_x_features,480x52,True
d19_te.dat,960,52,samples_x_features,960x52,True
d20.dat,480,52,samples_x_features,480x52,True
d20_te.dat,960,52,samples_x_features,960x52,True
d21.dat,480,52,samples_x_features,480x52,True
d21_te.dat,960,52,samples_x_features,960x52,True
