class_label,n_runs,run_ids
0,2,braatz_te_fault00|braatz_tr_fault00
1,2,braatz_te_fault01|braatz_tr_fault01
2,2,braatz_te_fault02|braatz_tr_fault02
3,2,braatz_te_fault03|braatz_tr_fault03
4,2,braatz_te_fault04|braatz_tr_fault04
5,2,braatz_te_fault05|braatz_tr_fault05
6,2,braatz_te_fault06|braatz_tr_fault06
7,2,braatz_te_fault07|braatz_tr_fault07
8,2,braatz_te_fault08|braatz_tr_fault08
9,2,braatz_te_fault09|braatz_tr_fault09
10,2,braatz_te_fault10|braatz_tr_fault10
11,2,braatz_te_fault11|braatz_tr_fault11
12,2,braatz_te_fault12|braatz_tr_fault12
13,2,braatz_te_fault13|braatz_tr_fault13
14,2,braatz_te_fault14|braatz_tr_fault14
15,2,braatz_te_fault15|braatz_tr_fault15
16,2,braatz_te_fault16|braatz_tr_fault16
17,2,braatz_te_fault17|braatz_tr_fault17
18,2,braatz_te_fault18|braatz_tr_fault18
19,2,braatz_te_fault19|braatz_tr_fault19
20,2,braatz_te_fault20|braatz_tr_fault20
21,2,braatz_te_fault21|braatz_tr_fault21
