name,n_nan,n_inf,n_features_after_orient,features_eq_52,shape_anomaly
d00.dat,0,0,52,True,True
d00_te.dat,0,0,52,True,False
d01.dat,0,0,52,True,False
d01_te.dat,0,0,52,True,False
d02.dat,0,0,52,True,False
d02_te.dat,0,0,52,True,False
d03.dat,0,0,52,True,False
d03_te.dat,0,0,52,True,False
d04.dat,0,0,52,True,False
d04_te.dat,0,0,52,True,False
d05.dat,0,0,52,True,False
d05_te.dat,0,0,52,True,False
d06.dat,0,0,52,True,False
d06_te.dat,0,0,52,True,False
d07.dat,0,0,52,True,False
d07_te.dat,0,0,52,True,False
d08.dat,0,0,52,True,False
d08_te.dat,0,0,52,True,False
d09.dat,0,0,52,True,False
d09_te.dat,0,0,52,True,False
d10.dat,0,0,52,True,False
d10_te.dat,0,0,52,True,False
d11.dat,0,0,52,True,False
d11_te.dat,0,0,52,True,False
d12.dat,0,0,52,True,False
d12_te.dat,0,0,52,True,False
d13.dat,0,0,52,True,False
d13_te.dat,0,0,52,True,False
d14.dat,0,0,52,True,False
d14_te.dat,0,0,52,True,False
d15.dat,0,0,52,True,False
d15_te.dat,0,0,52,True,False
d16.dat,0,0,52,True,False
d16_te.dat,0,0,52,True,False
d17.dat,0,0,52,True,False
d17_te.dat,0,0,52,True,False
d18.dat,0,0,52,True,False
d18_te.dat,0,0,52,True,False
d19.dat,0,0,52,True,False
d19_te.dat,0,0,52,True,False
d20.dat,0,0,52,True,False
d20_te.dat,0,0,52,True,False
d21.dat,0,0,52,True,False
d21_te.dat,0,0,52,True,False
