file,class_label,run_id,source_split
d00.dat,0,braatz_tr_fault00,braatz_train
d00_te.dat,0,braatz_te_fault00,braatz_test
d01.dat,1,braatz_tr_fault01,braatz_train
d01_te.dat,1,braatz_te_fault01,braatz_test
d02.dat,2,braatz_tr_fault02,braatz_train
d02_te.dat,2,braatz_te_fault02,braatz_test
d03.dat,3,braatz_tr_fault03,braatz_train
d03_te.dat,3,braatz_te_fault03,braatz_test
d04.dat,4,braatz_tr_fault04,braatz_train
d04_te.dat,4,braatz_te_fault04,braatz_test
d05.dat,5,braatz_tr_fault05,braatz_train
d05_te.dat,5,braatz_te_fault05,braatz_test
d06.dat,6,braatz_tr_fault06,braatz_train
d06_te.dat,6,braatz_te_fault06,braatz_test
d07.dat,7,braatz_tr_fault07,braatz_train
d07_te.dat,7,braatz_te_fault07,braatz_test
d08.dat,8,braatz_tr_fault08,braatz_train
d08_te.dat,8,braatz_te_fault08,braatz_test
d09.dat,9,braatz_tr_fault09,braatz_train
d09_te.dat,9,braatz_te_fault09,braatz_test
d10.dat,10,braatz_tr_fault10,braatz_train
d10_te.dat,10,braatz_te_fault10,braatz_test
d11.dat,11,braatz_tr_fault11,braatz_train
d11_te.dat,11,braatz_te_fault11,braatz_test
d12.dat,12,braatz_tr_fault12,braatz_train
d12_te.dat,12,braatz_te_fault12,braatz_test
d13.dat,13,braatz_tr_fault13,braatz_train
d13_te.dat,13,braatz_te_fault13,braatz_test
d14.dat,14,braatz_tr_fault14,braatz_train
d14_te.dat,14,braatz_te_fault14,braatz_test
d15.dat,15,braatz_tr_fault15,braatz_train
d15_te.dat,15,braatz_te_fault15,braatz_test
d16.dat,16,braatz_tr_fault16,braatz_train
d16_te.dat,16,braatz_te_fault16,braatz_test
d17.dat,17,braatz_tr_fault17,braatz_train
d17_te.dat,17,braatz_te_fault17,braatz_test
d18.dat,18,braatz_tr_fault18,braatz_train
d18_te.dat,18,braatz_te_fault18,braatz_test
d19.dat,19,braatz_tr_fault19,braatz_train
d19_te.dat,19,braatz_te_fault19,braatz_test
d20.dat,20,braatz_tr_fault20,braatz_train
d20_te.dat,20,braatz_te_fault20,braatz_test
d21.dat,21,braatz_tr_fault21,braatz_train
d21_te.dat,21,braatz_te_fault21,braatz_test
