class_label,n_samples,n_runs,regime,sample_fraction
0,1460,2,normal,0.04824851288830139
1,1440,2,fault,0.04758757435558493
2,1440,2,fault,0.04758757435558493
3,1440,2,fault,0.04758757435558493
4,1440,2,fault,0.04758757435558493
5,1440,2,fault,0.04758757435558493
6,1440,2,fault,0.04758757435558493
7,1440,2,fault,0.04758757435558493
8,1440,2,fault,0.04758757435558493
9,1440,2,fault,0.04758757435558493
10,1440,2,fault,0.04758757435558493
11,1440,2,fault,0.04758757435558493
12,1440,2,fault,0.04758757435558493
13,1440,2,fault,0.04758757435558493
14,1440,2,fault,0.04758757435558493
15,1440,2,fault,0.04758757435558493
16,1440,2,fault,0.04758757435558493
17,1440,2,fault,0.04758757435558493
18,1440,2,fault,0.04758757435558493
19,1440,2,fault,0.04758757435558493
20,1440,2,fault,0.04758757435558493
