variable,count,mean,std,min,q25,q50,q75,max
xmeas_1,30260.0,0.25664637963443493,0.1411405147716309,-0.0033137,0.21949,0.2503,0.2803725,1.0102
xmeas_2,30260.0,3663.5868142762724,42.878467297249145,3430.9,3635.5,3663.0,3690.125,3818.5
xmeas_3,30260.0,4507.775684071382,106.87247106014912,3851.9,4473.3,4510.1,4547.9,5003.7
xmeas_4,30260.0,9.392790766688696,0.37971490890581266,7.5602,9.2718,9.3549,9.4488,11.521
xmeas_5,30260.0,26.901655089226704,0.22768264318202117,25.585,26.764,26.898,27.042,28.09
xmeas_6,30260.0,42.37613380700594,0.3265944042109046,40.723,42.187,42.348,42.524,44.179
xmeas_7,30260.0,2724.6219695968275,77.39406520110043,2488.3,2698.5,2705.6,2714.0,3000.1
xmeas_8,30260.0,74.82903816920026,1.2594194421520344,65.443,74.431,74.948,75.417,82.775
xmeas_9,30260.0,120.40128453403834,0.06981986192199074,119.69,120.38,120.4,120.42,120.84
xmeas_10,30260.0,0.34465707931262396,0.08053214874977455,0.11874,0.32317,0.33593,0.3476425,0.79298
xmeas_11,30260.0,79.7103494051553,1.7623328886942542,72.736,79.818,80.086,80.322,85.442
xmeas_12,30260.0,49.97485102445473,0.9990654662351222,46.4,49.25775,50.001,50.631,54.255
xmeas_13,30260.0,2652.769163912756,78.34929346293451,2399.5,2626.2,2634.0,2642.8,2943.3
xmeas_14,30260.0,25.109366391275607,1.0564356103008585,20.787,24.398,25.126,25.806,30.804
xmeas_15,30260.0,49.951994910773294,1.0110868404852684,44.862,49.26,49.9,50.637,54.089
xmeas_16,30260.0,3122.317263714475,78.56671376120005,2923.4,3096.7,3102.8,3110.0,3446.0
xmeas_17,30260.0,22.906210806345012,0.6401255329362109,20.263,22.43,22.908,23.34525,26.307
xmeas_18,30260.0,66.02240290812954,1.696437592436395,56.365,65.458,65.872,66.442,74.248
xmeas_19,30260.0,247.30305254461337,67.32405651537577,26.107,224.32,234.09,247.75,462.94
xmeas_20,30260.0,340.9442432253801,11.314572767205265,273.42,339.54,341.32,342.8,387.84
xmeas_21,30260.0,94.42658909451421,1.2589606854972042,80.46,94.44,94.59,94.732,98.658
xmeas_22,30260.0,77.10575429610046,1.1551503511340986,64.843,77.002,77.2655,77.512,81.715
xmeas_23,30260.0,32.026267812293455,1.7535091100618037,23.823,31.913,32.177,32.441,37.914
xmeas_24,30260.0,8.864573992068737,0.2293680552342604,7.5477,8.7907,8.884,8.9722,10.05
xmeas_25,30260.0,26.802910575016526,1.8785373039839321,20.399,26.15,26.43,26.75,36.091
xmeas_26,30260.0,6.867198426966292,0.14017213318776062,6.1442,6.7922,6.8755,6.9549,7.4645
xmeas_27,30260.0,18.657815069398545,1.029516001896112,12.823,18.522,18.777,19.032,23.974
xmeas_28,30260.0,1.6271325307336417,0.1258269531755853,0.92862,1.6288,1.6544,1.6767,1.8772
xmeas_29,30260.0,32.71455287508261,2.646710390032751,20.55,32.621,32.94,33.248,41.372
xmeas_30,30260.0,13.784809649702577,0.29360361336339463,12.259,13.709,13.813,13.906,15.268
xmeas_31,30260.0,24.607363780568406,2.87613569977465,15.021,23.692,24.045,24.429,38.799
xmeas_32,30260.0,1.2478457594183743,0.15316837561279872,0.39587,1.1772,1.2565,1.3355,2.0667
xmeas_33,30260.0,18.39579517514871,1.4443313291223538,10.489,18.274,18.58,18.865,26.049
xmeas_34,30260.0,2.220454567085261,0.17145399772387412,1.3039,2.2327,2.2612,2.2858,2.5828
xmeas_35,30260.0,4.770796226040979,0.3439692619281961,3.352,4.7712,4.8392,4.9028,5.9468
xmeas_36,30260.0,2.262420568407138,0.18006169470839725,1.4316,2.2442,2.295,2.3441,2.9669
xmeas_37,30260.0,0.017781312321546595,0.010030420365174587,-0.016855,0.011112,0.0177655,0.024482,0.054085
xmeas_38,30260.0,0.8351827131526769,0.09365244046024142,0.44414,0.8182,0.8360700000000001,0.85383,1.3252
xmeas_39,30260.0,0.09722728767349637,0.013523043731771406,0.032736,0.09007675000000001,0.0980945,0.106005,0.14829
xmeas_40,30260.0,53.70849570389954,0.5852793014879686,51.162,53.336,53.715,54.103,55.754
xmeas_41,30260.0,43.81923678122934,0.6066609360046847,41.447,43.432,43.817,44.197250000000004,46.148
xmv_1,30260.0,64.19774167217449,5.636492903325306,59.759,62.643,63.096,63.577,100.0
xmv_2,30260.0,54.69291665565102,7.305806165673188,27.567,53.548,53.986,54.447,100.0
xmv_3,30260.0,29.42465235406477,19.479819809364827,-0.012678,22.24075,25.0885,28.293,100.09
xmv_4,30260.0,63.899268076668875,9.034306136227533,47.789,60.364,61.487,62.78325,100.01
xmv_5,30260.0,21.834214520456047,6.062633496681369,-0.045435,21.515749999999997,22.137,22.664,69.618
xmv_6,30260.0,39.37695271473893,12.968437145847211,0.0,38.347,39.928,41.381,94.247
xmv_7,30260.0,38.026002214144086,2.94012580591613,27.504,35.915,38.104,39.956250000000004,50.623
xmv_8,30260.0,46.42290442828817,2.3399407676225126,34.644,44.821,46.3035,48.008,55.997
xmv_9,30260.0,49.74809226490417,16.9640251087522,-0.58124,45.680749999999996,48.2435,51.53325,100.46
xmv_10,30260.0,42.493860192048906,12.129392848265244,-0.13815,40.619,41.2,41.884,100.38
xmv_11,30260.0,20.426337177792465,10.733046977118242,12.187,17.194,18.317,19.574,100.0
