component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.28431547347426595,0.28431547347426595
PC2,0.21330381227036035,0.4976192857446263
PC3,0.07390760624805487,0.5715268919926813
PC4,0.0460834090785737,0.6176103010712549
PC5,0.03793671945102744,0.6555470205222823
PC6,0.03707524729904384,0.6926222678213262
PC7,0.026813156201435522,0.7194354240227617
PC8,0.022681669485563893,0.7421170935083257
PC9,0.02148296787998449,0.7636000613883102
PC10,0.019483713761092255,0.7830837751494024
