,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20
true_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_2,0,0,459,6,0,0,0,0,8,3,1,0,0,0,0,2,0,0,0,1,0
true_3,41,0,5,109,0,0,1,0,0,118,1,5,0,0,0,167,3,4,0,16,10
true_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_6,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_10,34,2,0,91,0,0,4,0,8,139,279,11,42,6,0,161,115,2,0,30,36
true_11,6,0,0,10,33,0,0,0,0,12,1,385,0,0,5,17,0,2,0,7,2
true_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_13,2,0,0,6,0,7,1,0,173,1,14,10,77,159,0,5,7,0,0,8,10
true_14,8,1,3,28,0,0,0,0,0,33,0,7,0,0,759,71,1,33,0,12,4
true_15,38,2,0,118,0,0,12,0,1,92,5,7,1,4,0,148,22,1,0,17,12
true_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_18,10,2,0,53,1,7,1,1,1,56,0,3,40,8,0,99,0,1,655,15,7
true_19,10,0,0,21,0,0,2,0,0,24,0,18,0,0,0,25,10,2,0,331,37
true_20,12,0,0,42,0,0,1,0,0,26,4,2,2,0,0,28,26,2,0,13,322
