,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20
true_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_2,0,0,446,0,0,0,0,0,13,0,0,0,0,0,0,20,0,0,0,1,0
true_3,3,0,0,0,0,0,0,0,0,44,0,1,4,0,0,424,0,1,0,3,0
true_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_6,0,1,0,0,0,0,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_10,3,0,0,4,0,7,0,0,20,100,68,13,119,4,0,534,59,4,0,5,20
true_11,1,0,0,0,37,0,0,0,0,8,0,331,7,0,20,65,0,7,0,4,0
true_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_13,0,0,0,12,0,18,0,0,50,2,5,1,150,178,0,24,24,0,12,1,3
true_14,1,0,0,0,0,1,0,0,0,17,0,2,2,0,770,140,0,21,0,4,2
true_15,5,0,1,0,0,0,0,0,0,17,0,3,0,0,0,449,0,1,0,3,1
true_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_18,1,2,0,0,0,2,0,1,9,19,5,0,43,12,0,236,0,0,629,1,0
true_19,2,0,2,7,0,0,0,0,0,16,0,11,1,0,1,247,3,3,0,180,7
true_20,0,0,0,6,0,0,0,0,8,7,8,1,8,0,0,172,3,2,0,6,259
