model_a,model_b,metric,experimental_unit,n_units,n_nonzero_diffs,mean_diff_a_minus_b,statistic,pvalue_raw,note,pvalue_holm,alpha,significant_holm,correction
logistic_regression,decision_tree,run_accuracy,run_id,11,11,-0.26581439393939393,11.0,0.0537109375,,0.4833984375,0.05,False,holm
logistic_regression,random_forest,run_accuracy,run_id,11,11,-0.32215909090909095,10.0,0.0419921875,,0.419921875,0.05,False,holm
logistic_regression,gradient_boosting,run_accuracy,run_id,11,11,-0.3006628787878788,6.0,0.013671875,,0.205078125,0.05,False,holm
logistic_regression,svm,run_accuracy,run_id,11,10,0.02632575757575757,18.0,0.3328797545683888,,1.0,0.05,False,holm
logistic_regression,xgboost,run_accuracy,run_id,11,11,-0.3170454545454545,7.0,0.0185546875,,0.259765625,0.05,False,holm
decision_tree,random_forest,run_accuracy,run_id,11,11,-0.056344696969696975,13.0,0.0830078125,,0.498046875,0.05,False,holm
decision_tree,gradient_boosting,run_accuracy,run_id,11,11,-0.03484848484848486,18.0,0.2060546875,,1.0,0.05,False,holm
decision_tree,svm,run_accuracy,run_id,11,11,0.2921401515151515,12.0,0.0673828125,,0.4833984375,0.05,False,holm
decision_tree,xgboost,run_accuracy,run_id,11,11,-0.0512310606060606,11.0,0.0537109375,,0.4833984375,0.05,False,holm
random_forest,gradient_boosting,run_accuracy,run_id,11,10,0.02149621212121212,20.0,0.4445867389117455,,1.0,0.05,False,holm
random_forest,svm,run_accuracy,run_id,11,11,0.3484848484848485,7.0,0.0185546875,,0.259765625,0.05,False,holm
random_forest,xgboost,run_accuracy,run_id,11,10,0.005113636363636376,19.0,0.3862707203664827,,1.0,0.05,False,holm
gradient_boosting,svm,run_accuracy,run_id,11,11,0.3269886363636363,7.0,0.0185546875,,0.259765625,0.05,False,holm
gradient_boosting,xgboost,run_accuracy,run_id,11,10,-0.01638257575757575,22.0,0.5750621301739497,,1.0,0.05,False,holm
svm,xgboost,run_accuracy,run_id,11,11,-0.3433712121212121,8.0,0.0244140625,,0.2685546875,0.05,False,holm
