model_a,model_b,metric,experimental_unit,n_units,n_nonzero_diffs,mean_diff_a_minus_b,statistic,pvalue_raw,note,pvalue_holm,alpha,significant_holm,correction
random_forest,logistic_regression,run_accuracy,run_id,11,11,0.32215909090909095,10.0,0.0419921875,,0.3359375,0.05,False,holm
gradient_boosting,logistic_regression,run_accuracy,run_id,11,11,0.3006628787878788,6.0,0.013671875,,0.13671875,0.05,False,holm
xgboost,logistic_regression,run_accuracy,run_id,11,11,0.3170454545454545,7.0,0.0185546875,,0.1669921875,0.05,False,holm
random_forest,decision_tree,run_accuracy,run_id,11,11,0.056344696969696975,13.0,0.0830078125,,0.4150390625,0.05,False,holm
xgboost,decision_tree,run_accuracy,run_id,11,11,0.0512310606060606,11.0,0.0537109375,,0.3759765625,0.05,False,holm
xgboost,random_forest,run_accuracy,run_id,11,10,-0.005113636363636376,19.0,0.3862707203664827,,1.0,0.05,False,holm
random_forest,gradient_boosting,run_accuracy,run_id,11,10,0.02149621212121212,20.0,0.4445867389117455,,1.0,0.05,False,holm
xgboost,gradient_boosting,run_accuracy,run_id,11,10,0.01638257575757575,22.0,0.5750621301739497,,1.0,0.05,False,holm
decision_tree,logistic_regression,run_accuracy,run_id,11,11,0.26581439393939393,11.0,0.0537109375,,0.3759765625,0.05,False,holm
svm,logistic_regression,run_accuracy,run_id,11,10,-0.02632575757575757,18.0,0.3328797545683888,,1.0,0.05,False,holm
