class_label,precision,recall,f1,support,tp,fp,fn
0,0.0,0.0,0.0,0,0,16,0
1,0.0,0.0,0.0,0,0,3,0
2,0.9933184855233853,0.9291666666666667,0.960172228202368,480,446,3,34
3,0.0,0.0,0.0,480,0,29,480
4,0.0,0.0,0.0,0,0,37,0
5,0.0,0.0,0.0,0,0,28,0
6,1.0,0.9979166666666667,0.9989572471324296,480,479,0,1
7,0.0,0.0,0.0,0,0,1,0
8,0.0,0.0,0.0,0,0,100,0
9,0.0,0.0,0.0,0,0,230,0
10,0.7906976744186046,0.07083333333333333,0.130019120458891,960,68,18,892
11,0.9118457300275482,0.6895833333333333,0.7852906287069988,480,331,32,149
12,0.0,0.0,0.0,0,0,334,0
13,0.9175257731958762,0.37083333333333335,0.5281899109792285,480,178,16,302
14,0.9734513274336283,0.8020833333333334,0.8794974300399772,960,770,21,190
15,0.19428818693206404,0.9354166666666667,0.32174847724829814,480,449,1862,31
16,0.0,0.0,0.0,0,0,89,0
17,0.0,0.0,0.0,0,0,39,0
18,0.9812792511700468,0.6552083333333333,0.7857589006870704,960,629,12,331
19,0.8653846153846154,0.375,0.5232558139534884,480,180,28,300
20,0.886986301369863,0.5395833333333333,0.6709844559585492,480,259,33,221
