class_label,precision,recall,f1,support,tp,fp,fn
0,0.0,0.0,0.0,0,0,3,0
1,0.0,0.0,0.0,0,0,15,0
2,0.9978494623655914,0.9666666666666667,0.982010582010582,480,464,1,16
3,0.2,0.20416666666666666,0.2020618556701031,480,98,392,382
4,0.0,0.0,0.0,0,0,352,0
5,0.0,0.0,0.0,0,0,575,0
6,0.9770992366412213,0.5333333333333333,0.6900269541778976,480,256,6,224
7,0.0,0.0,0.0,0,0,0,0
8,0.0,0.0,0.0,0,0,364,0
9,0.0,0.0,0.0,0,0,445,0
10,0.9327731092436975,0.23125,0.37061769616026713,960,222,16,738
11,0.11552346570397112,0.13333333333333333,0.12379110251450677,480,64,490,416
12,0.0,0.0,0.0,0,0,465,0
13,0.19444444444444445,0.058333333333333334,0.08974358974358976,480,28,116,452
14,0.0,0.0,0.0,960,0,0,960
15,0.1488,0.19375,0.1683257918552036,480,93,532,387
16,0.0,0.0,0.0,0,0,310,0
17,0.0,0.0,0.0,0,0,202,0
18,0.9361702127659575,0.18333333333333332,0.30662020905923343,960,176,12,784
19,0.11895910780669144,0.13333333333333333,0.12573673870333985,480,64,474,416
20,0.7958762886597938,0.8041666666666667,0.8000000000000002,480,386,99,94
