class_label,precision,recall,f1,support,tp,fp,fn
0,0.0,0.0,0.0,0,0,161,0
1,0.0,0.0,0.0,0,0,7,0
2,0.9828693790149893,0.95625,0.969376979936642,480,459,8,21
3,0.22520661157024793,0.22708333333333333,0.22614107883817425,480,109,375,371
4,0.0,0.0,0.0,0,0,34,0
5,0.0,0.0,0.0,0,0,14,0
6,0.9561752988047809,1.0,0.9775967413441955,480,480,22,0
7,0.0,0.0,0.0,0,0,1,0
8,0.0,0.0,0.0,0,0,191,0
9,0.0,0.0,0.0,0,0,504,0
10,0.9147540983606557,0.290625,0.4411067193675889,960,279,26,681
11,0.859375,0.8020833333333334,0.8297413793103448,480,385,63,95
12,0.0,0.0,0.0,0,0,162,0
13,0.8983050847457628,0.33125,0.48401826484018257,480,159,18,321
14,0.993455497382199,0.790625,0.8805104408352669,960,759,5,201
15,0.20470262793914246,0.30833333333333335,0.2460515378221114,480,148,575,332
16,0.0,0.0,0.0,0,0,184,0
17,0.0,0.0,0.0,0,0,47,0
18,1.0,0.6822916666666666,0.8111455108359134,960,655,0,305
19,0.7355555555555555,0.6895833333333333,0.7118279569892473,480,331,119,149
20,0.7318181818181818,0.6708333333333333,0.7,480,322,118,158
