class_label,precision,recall,f1,support,tp,fp,fn
0,0.0,0.0,0.0,0,0,0,0
1,0.0,0.0,0.0,0,0,0,0
2,1.0,0.9520833333333333,0.975453575240128,480,457,0,23
3,0.19908466819221968,0.18125,0.18974918211559433,480,87,350,393
4,0.0,0.0,0.0,0,0,37,0
5,0.0,0.0,0.0,0,0,41,0
6,1.0,1.0,1.0,480,480,0,0
7,0.0,0.0,0.0,0,0,1,0
8,0.0,0.0,0.0,0,0,51,0
9,0.0,0.0,0.0,0,0,376,0
10,0.9184782608695652,0.17604166666666668,0.29545454545454547,960,169,15,791
11,0.9262899262899262,0.7854166666666667,0.8500563697857948,480,377,30,103
12,0.0,0.0,0.0,0,0,265,0
13,0.9428571428571428,0.55,0.6947368421052631,480,264,16,216
14,0.990909090909091,0.7947916666666667,0.8820809248554914,960,763,7,197
15,0.23338870431893688,0.5854166666666667,0.333729216152019,480,281,923,199
16,0.0,0.0,0.0,0,0,308,0
17,0.0,0.0,0.0,0,0,49,0
18,1.0,0.675,0.8059701492537313,960,648,0,312
19,0.8195876288659794,0.6625,0.7327188940092166,480,318,70,162
20,0.887240356083086,0.6229166666666667,0.7319461444308445,480,299,38,181
