class_label,precision,recall,f1,support,tp,fp,fn
0,0.0,0.0,0.0,0,0,0,0
1,0.0,0.0,0.0,0,0,0,0
2,0.9892703862660944,0.9604166666666667,0.974630021141649,480,461,5,19
3,0.18704284221525602,0.3729166666666667,0.2491301322199026,480,179,778,301
4,0.0,0.0,0.0,0,0,546,0
5,0.0,0.0,0.0,0,0,471,0
6,0.9871794871794872,0.32083333333333336,0.4842767295597485,480,154,2,326
7,0.0,0.0,0.0,0,0,66,0
8,0.0,0.0,0.0,0,0,616,0
9,0.0,0.0,0.0,0,0,456,0
10,1.0,0.04583333333333333,0.08764940239043824,960,44,0,916
11,0.0968421052631579,0.09583333333333334,0.09633507853403142,480,46,429,434
12,0.0,0.0,0.0,0,0,479,0
13,0.4727272727272727,0.05416666666666667,0.097196261682243,480,26,29,454
14,0.0,0.0,0.0,960,0,0,960
15,0.18696397941680962,0.22708333333333333,0.20507996237064913,480,109,474,371
16,0.0,0.0,0.0,0,0,246,0
17,0.0,0.0,0.0,0,0,87,0
18,0.9917355371900827,0.125,0.22201665124884368,960,120,1,840
19,0.20404040404040405,0.21041666666666667,0.20717948717948717,480,101,394,379
20,0.885286783042394,0.7395833333333334,0.8059023836549377,480,355,46,125
