,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20
true_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_2,0,0,456,3,0,0,0,0,12,4,0,0,0,1,0,2,0,0,0,2,0
true_3,52,0,3,111,0,0,1,0,0,121,0,7,0,0,0,137,8,2,3,17,18
true_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_6,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_10,31,4,0,92,0,0,4,0,6,114,225,27,61,2,0,178,163,0,0,11,42
true_11,5,2,0,7,41,0,0,0,1,17,1,380,1,0,5,8,1,3,0,7,1
true_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_13,2,0,0,1,0,3,1,0,78,1,10,15,136,206,0,1,20,0,0,6,0
true_14,17,5,0,30,0,0,0,0,0,28,0,4,0,2,777,56,0,21,0,14,6
true_15,31,6,11,126,0,0,17,0,0,91,0,24,1,0,0,133,8,0,0,12,20
true_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_18,16,3,0,53,0,3,0,3,0,64,0,2,49,3,0,84,1,0,658,11,10
true_19,3,0,0,12,0,0,0,0,0,15,0,14,0,0,0,18,6,2,0,402,8
true_20,19,0,1,33,0,0,1,0,0,19,2,5,6,0,0,26,26,0,0,14,328
