class_label,precision,recall,f1,support,tp,fp,fn
0,0.0,0.0,0.0,0,0,176,0
1,0.0,0.0,0.0,0,0,20,0
2,0.9681528662420382,0.95,0.9589905362776026,480,456,15,24
3,0.23717948717948717,0.23125,0.23417721518987342,480,111,357,369
4,0.0,0.0,0.0,0,0,41,0
5,0.0,0.0,0.0,0,0,6,0
6,0.9523809523809523,1.0,0.975609756097561,480,480,24,0
7,0.0,0.0,0.0,0,0,3,0
8,0.0,0.0,0.0,0,0,97,0
9,0.0,0.0,0.0,0,0,474,0
10,0.9453781512605042,0.234375,0.3756260434056761,960,225,13,735
11,0.7949790794979079,0.7916666666666666,0.7933194154488519,480,380,98,100
12,0.0,0.0,0.0,0,0,254,0
13,0.9626168224299065,0.42916666666666664,0.5936599423631124,480,206,8,274
14,0.9936061381074168,0.809375,0.8920780711825488,960,777,5,183
15,0.20684292379471228,0.27708333333333335,0.23686553873552985,480,133,510,347
16,0.0,0.0,0.0,0,0,233,0
17,0.0,0.0,0.0,0,0,28,0
18,0.9954614220877458,0.6854166666666667,0.811844540407156,960,658,3,302
19,0.8104838709677419,0.8375,0.8237704918032787,480,402,94,78
20,0.7575057736720554,0.6833333333333333,0.7185104052573932,480,328,105,152
